Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Ivanhoe,25 Fairy St,4,h,2530000,VB,Miles,2017-07-29,7.8,3079,4,2,0,637,306,1936,Banyule City Council,-37.77671,145.04005,Eastern Metropolitan,5549
Ivanhoe East,51 Wilfred Rd,4,h,600000,PI,Ray,2017-07-29,7.8,3079,4,3,3,1022,120,1970,Banyule City Council,-37.77344,145.05687,Eastern Metropolitan,1554
Jacana,29 Fox Ct,3,h,620500,S,RW,2017-07-29,14.0,3047,3,1,4,764,120,1970,Hume City Council,-37.68907,144.91459,Northern Metropolitan,851
Keilor East,9 Surrey Dr,4,h,1475000,PI,Harcourts,2017-07-29,11.7,3033,4,2,2,988,120,1970,Brimbank City Council,-37.75166,144.87552,Western Metropolitan,5629
Keilor Park,45 Collinson St,3,h,750000,S,Nelson,2017-07-29,10.4,3042,3,2,2,761,222,1980,Brimbank City Council,-37.72224,144.85739,Western Metropolitan,1119
Keilor Park,26 Snow St,5,h,765000,SP,McDonald,2017-07-29,10.4,3042,5,3,4,650,178,1970,Brimbank City Council,-37.72285,144.86073,Western Metropolitan,1119
Kensington,401/40 Altona St,2,u,445000,SP,Redina,2017-07-29,3.4,3031,2,1,1,1775,59,1970,Melbourne City Council,-37.79818,144.92685,Northern Metropolitan,5263
Kensington,509/72 Altona St,2,u,501000,SP,Jellis,2017-07-29,3.4,3031,2,1,1,3957,120,2008,Melbourne City Council,-37.79741,144.92614,Northern Metropolitan,5263
Kensington,32 Collett St,2,h,600000,SP,Nelson,2017-07-29,3.4,3031,2,1,0,165,80,1900,Melbourne City Council,-37.7904,144.93325,Northern Metropolitan,5263
Kensington,42 Gower St,3,h,1060000,S,Nelson,2017-07-29,3.4,3031,3,1,0,190,120,1970,Melbourne City Council,-37.7956,144.92779,Northern Metropolitan,5263
Kew,6/385 Barkers Rd,3,t,1405000,S,Buckingham,2017-07-29,5.4,3101,3,2,2,325,129,1980,Boroondara City Council,-37.81614,145.05056,Southern Metropolitan,10331
Kew,11 Raheen Dr,4,h,3015000,S,Jellis,2017-07-29,5.4,3101,4,2,2,813,276,1970,Boroondara City Council,-37.80437,145.01725,Southern Metropolitan,10331
Kew East,7 Cadow St,3,h,1500000,S,Fletchers,2017-07-29,7.3,3102,3,2,2,446,120,1970,Boroondara City Council,-37.79589,145.05223,Southern Metropolitan,2671
Keysborough,28 Eildon Dr,3,h,745000,SP,Biggin,2017-07-29,25.2,3173,3,1,4,540,108,1980,Greater Dandenong City Council,-37.9884,145.15925,South-Eastern Metropolitan,8459
Keysborough,5 Faoro Ct,3,h,725000,S,Purplebricks,2017-07-29,25.2,3173,3,2,4,553,120,1970,Greater Dandenong City Council,-37.99432,145.16143,South-Eastern Metropolitan,8459
Kings Park,16 Camelia St,4,h,600000,SN,Barry,2017-07-29,14.0,3021,4,1,0,537,120,1970,Brimbank City Council,-37.73205,144.77883,Western Metropolitan,2878
Knoxfield,16 Mistletoe Cl,5,h,1070000,SP,Barry,2017-07-29,23.3,3180,5,2,2,726,120,1970,Knox City Council,-37.88309,145.24917,Eastern Metropolitan,2949
Kurunjang,55 Dunvegan Dr,3,h,375000,SP,hockingstuart,2017-07-29,31.7,3337,3,2,1,637,131,1980,Melton City Council,-37.66195,144.59785,Northern Victoria,3553
Lalor,2/7 Cooma Ct,2,u,444000,S,HAR,2017-07-29,16.3,3075,2,1,1,277,100,1980,Whittlesea City Council,-37.66612,145.0008,Northern Metropolitan,8279
Lalor,168 Darebin Dr,3,h,544000,S,Langwell,2017-07-29,16.3,3075,3,1,2,534,129,1960,Whittlesea City Council,-37.67024,145.03644,Northern Metropolitan,8279
Lalor,60 Robert St,4,h,710000,S,Love,2017-07-29,16.3,3075,4,1,1,627,120,1970,Whittlesea City Council,-37.66781,145.00926,Northern Metropolitan,8279
Lalor,105 William St,3,h,700000,SP,YPA,2017-07-29,16.3,3075,3,1,2,625,120,1970,Whittlesea City Council,-37.67427,145.02961,Northern Metropolitan,8279
Langwarrin,2 Gianna Wy,3,h,565500,S,O'Brien,2017-07-29,41.0,3910,3,2,2,361,120,1970,Frankston City Council,-38.13673,145.21616,Eastern Victoria,8743
Lower Plenty,54 Edwards St,4,h,1129000,S,Fletchers,2017-07-29,14.6,3093,4,2,2,792,120,1970,Banyule City Council,-37.72608,145.12115,Eastern Metropolitan,1624
Maidstone,1/1 Clarendon St,3,t,670000,SP,Jas,2017-07-29,6.4,3012,3,2,2,159,128,2016,Maribyrnong City Council,-37.78502,144.86733,Western Metropolitan,3873
Maidstone,2/166 Mitchell St,4,t,821000,S,Jas,2017-07-29,6.4,3012,4,3,2,294,151,2014,Maribyrnong City Council,-37.78133,144.86768,Western Metropolitan,3873
Meadow Heights,2/11 Dutton Ct,3,t,360000,SP,RW,2017-07-29,17.4,3048,3,1,1,154,108,2008,Hume City Council,-37.64992,144.91883,Northern Metropolitan,4704
Meadow Heights,19 Papworth Pl,3,h,510000,SP,Barry,2017-07-29,17.4,3048,3,1,1,670,101,1960,Hume City Council,-37.65168,144.91868,Northern Metropolitan,4704
Melbourne,709/87 Franklin St,2,u,565000,S,MICM,2017-07-29,0.0,3000,2,1,0,89,85,2003,Melbourne City Council,-37.80802,144.96168,Northern Metropolitan,17496
Melton South,24 Blaxland Rd,3,h,300000,S,Reliance,2017-07-29,29.8,3338,3,1,1,585,120,1970,Melton City Council,-37.71195,144.57235,Western Victoria,4718
Melton South,48 Manson Dr,3,h,385000,S,YPA,2017-07-29,29.8,3338,3,1,2,670,124,1975,Melton City Council,-37.70228,144.57688,Western Victoria,4718
Melton West,20 Linlithgow Wy,4,h,427500,S,hockingstuart,2017-07-29,31.7,3337,4,1,2,865,129,1980,Melton City Council,-37.67396,144.55784,Northern Victoria,6065
Mill Park,14 Jasmine Dr,3,h,668000,S,Ray,2017-07-29,17.9,3082,3,2,1,555,196,1990,Whittlesea City Council,-37.6764,145.05085,Northern Metropolitan,10529
Mill Park,14 Medlar Ct,3,h,650000,PI,Ray,2017-07-29,17.9,3082,3,2,1,661,141,1990,Whittlesea City Council,-37.66898,145.07209,Northern Metropolitan,10529
Mill Park,2 Mimosa Rd,2,h,490000,S,Stockdale,2017-07-29,17.9,3082,2,1,2,374,100,1970,Whittlesea City Council,-37.6745,145.05491,Northern Metropolitan,10529
Mill Park,5 Peyton Dr,4,h,800000,S,HAR,2017-07-29,17.9,3082,4,2,2,674,120,1970,Whittlesea City Council,-37.65639,145.06518,Northern Metropolitan,10529
Mill Park,117 Telopea Cr,5,h,955000,S,HAR,2017-07-29,17.9,3082,5,2,5,698,120,1995,Whittlesea City Council,-37.66683,145.07751,Northern Metropolitan,10529
Mill Park,38 Wenden Rd,3,h,635000,S,RW,2017-07-29,17.9,3082,3,1,2,528,120,1970,Whittlesea City Council,-37.66726,145.05819,Northern Metropolitan,10529
Mont Albert,1/381 Elgar Rd,3,t,943000,S,Fletchers,2017-07-29,10.2,3127,3,1,1,248,120,2000,Boroondara City Council,-37.82335,145.11358,Eastern Metropolitan,2079
Mont Albert,3/81 Victoria Cr,2,u,600000,SA,Fletchers,2017-07-29,10.2,3127,2,1,1,146,81,1960,Boroondara City Council,-37.81336,145.10942,Eastern Metropolitan,2079
Moonee Ponds,90 Bent St,4,h,1400000,PI,Hodges,2017-07-29,6.2,3039,4,2,1,375,200,1930,Moonee Valley City Council,-37.76261,144.93249,Western Metropolitan,6232
Moonee Ponds,59 Margaret St,3,h,1245000,S,McDonald,2017-07-29,6.2,3039,3,1,0,234,120,1914,Moonee Valley City Council,-37.76321,144.91958,Western Metropolitan,6232
Moorabbin,3/13 Perry St,3,t,920000,S,hockingstuart,2017-07-29,14.3,3189,3,2,2,230,120,1970,Kingston City Council,-37.93793,145.04048,Southern Metropolitan,2555
Mooroolbark,149 Manchester Rd,3,h,696000,S,Fletchers,2017-07-29,26.5,3138,3,1,2,886,120,1960,Yarra Ranges Shire Council,-37.7753,145.31266,Eastern Victoria,8280
Mount Waverley,12 Baringa St,4,h,600000,VB,Buxton,2017-07-29,14.2,3149,4,1,1,763,120,1970,Monash City Council,-37.87258,145.14008,Eastern Metropolitan,13366
Mount Waverley,5 Sesame St,4,h,600000,S,Buxton,2017-07-29,14.2,3149,4,3,2,730,260,1970,Monash City Council,-37.86509,145.14449,Eastern Metropolitan,13366
Mount Waverley,31 Valley Rd,4,h,600000,S,hockingstuart,2017-07-29,14.2,3149,4,1,2,721,120,1970,Monash City Council,-37.87817,145.13265,Eastern Metropolitan,13366
Mount Waverley,37 Waimarie Dr,3,h,1635000,S,Harcourts,2017-07-29,14.2,3149,3,1,2,720,120,1960,Monash City Council,-37.87735,145.13357,Eastern Metropolitan,13366
Mount Waverley,16 Walker Rd,3,h,1406000,S,Ray,2017-07-29,14.2,3149,3,2,2,660,133,1960,Monash City Council,-37.86198,145.139,Eastern Metropolitan,13366
Mount Waverley,3 Wortley Av,4,h,1640000,S,Barry,2017-07-29,14.2,3149,4,2,2,811,120,1970,Monash City Council,-37.85858,145.12053,Eastern Metropolitan,13366
Mulgrave,35 Bevis St,3,h,9000000,PI,Hall,2017-07-29,18.8,3170,3,1,1,744,117,1960,Monash City Council,-37.93168,145.16126,South-Eastern Metropolitan,7113
Mulgrave,5 Grainger Ct,3,h,1001000,S,Harcourts,2017-07-29,18.8,3170,3,1,2,727,168,1970,Monash City Council,-37.9128,145.16152,South-Eastern Metropolitan,7113
Mulgrave,28 Mangana Dr,3,h,600000,SN,Hall,2017-07-29,18.8,3170,3,1,2,675,120,1970,Monash City Council,-37.92669,145.17139,South-Eastern Metropolitan,7113
Mulgrave,7 Tottenham Gr,4,h,1030000,S,Ray,2017-07-29,18.8,3170,4,2,2,492,120,1970,Monash City Council,-37.92299,145.19156,South-Eastern Metropolitan,7113
Murrumbeena,2/20 Gerald St,2,u,540000,VB,Weston,2017-07-29,10.1,3163,2,1,1,80,67,1970,Glen Eira City Council,-37.89563,145.06992,Southern Metropolitan,4442
Murrumbeena,1/48 Kangaroo Rd,2,u,910000,S,hockingstuart,2017-07-29,10.1,3163,2,1,2,402,106,1970,Glen Eira City Council,-37.89801,145.07104,Southern Metropolitan,4442
Murrumbeena,33 Weeroona Rd,3,h,1965000,S,Ray,2017-07-29,10.1,3163,3,2,3,926,58,1970,Glen Eira City Council,-37.888,145.07123,Southern Metropolitan,4442
Narre Warren,11 Fountain Dr,3,h,600000,SN,Barry,2017-07-29,34.1,3805,3,1,1,675,120,1980,Casey City Council,-38.01346,145.29217,South-Eastern Metropolitan,9376
Narre Warren,9 Western Wy,3,h,600000,SN,Barry,2017-07-29,34.1,3805,3,1,2,819,91,1971,Casey City Council,-38.02122,145.29737,South-Eastern Metropolitan,9376
Newport,41 Gordon St,3,t,950000,SP,Greg,2017-07-29,6.2,3015,3,2,2,211,120,1970,Hobsons Bay City Council,-37.83712,144.86686,Western Metropolitan,5498
Newport,100 Market St,3,h,600000,SP,hockingstuart,2017-07-29,6.2,3015,3,1,2,447,120,1970,Hobsons Bay City Council,-37.84764,144.8768,Western Metropolitan,5498
Newport,22/4 Mason St,2,u,582000,SP,Gunn&Co,2017-07-29,6.2,3015,2,1,1,963,86,2012,Hobsons Bay City Council,-37.84212,144.88211,Western Metropolitan,5498
Noble Park,38 Dunblane Rd,3,h,695000,S,Barry,2017-07-29,22.7,3174,3,1,1,671,142,1950,Greater Dandenong City Council,-37.962,145.18035,South-Eastern Metropolitan,11806
North Melbourne,18/375 Abbotsford St,3,u,681000,S,JMRE,2017-07-29,1.8,3051,3,1,1,1843,120,1960,Melbourne City Council,-37.79773,144.94611,Northern Metropolitan,6821
North Melbourne,66/171 Flemington Rd,1,u,600000,SP,Alexkarbon,2017-07-29,1.8,3051,1,1,2,5973,120,1975,Melbourne City Council,-37.7955,144.94922,Northern Metropolitan,6821
Northcote,120 Darebin Rd,3,h,1610000,S,Nelson,2017-07-29,5.3,3070,3,1,4,693,120,1970,Darebin City Council,-37.76433,145.00813,Northern Metropolitan,11364
Northcote,30 Johnson St,4,h,1515000,S,Jellis,2017-07-29,5.3,3070,4,1,2,318,161,1920,Darebin City Council,-37.7631,144.99884,Northern Metropolitan,11364
Northcote,5 Lees St,2,h,600000,SN,Barry,2017-07-29,5.3,3070,2,1,1,374,102,1935,Darebin City Council,-37.77836,145.00897,Northern Metropolitan,11364
Nunawading,3/61 Mount Pleasant Rd,2,u,725000,S,Stockdale,2017-07-29,15.4,3131,2,1,2,848,120,1970,Manningham City Council,-37.82577,145.17896,Eastern Metropolitan,4973
Nunawading,2/281 Springvale Rd,3,u,813000,S,Ray,2017-07-29,15.4,3131,3,2,2,266,134,2001,Manningham City Council,-37.82923,145.1744,Eastern Metropolitan,4973
Oak Park,15 Nerissa Gr,4,h,1300000,PI,Woodards,2017-07-29,11.2,3046,4,2,2,866,175,1960,Moreland City Council,-37.71979,144.92341,Northern Metropolitan,2651
Oak Park,88 Vincent St,4,h,1260000,S,Considine,2017-07-29,11.2,3046,4,2,2,656,204,1960,Moreland City Council,-37.71652,144.91211,Northern Metropolitan,2651
Oak Park,59 Winifred St,4,h,921000,S,Jellis,2017-07-29,11.2,3046,4,1,4,550,120,1950,Moreland City Council,-37.7204,144.9143,Northern Metropolitan,2651
Oakleigh South,9 Mimosa Av,3,h,1250000,S,McGrath,2017-07-29,15.5,3167,3,1,2,680,120,1970,Kingston City Council,-37.9123,145.09737,South-Eastern Metropolitan,3692
Oakleigh South,58 Sherbrooke Av,3,h,840000,PI,Woodards,2017-07-29,15.5,3167,3,1,4,601,120,1970,Kingston City Council,-37.93869,145.08441,South-Eastern Metropolitan,3692
Parkdale,5 Morris St,5,h,1350000,VB,hockingstuart,2017-07-29,21.5,3195,5,2,2,653,120,1970,Kingston City Council,-37.99336,145.08953,South-Eastern Metropolitan,5087
Pascoe Vale,16/43 Arndt Rd,2,u,541000,S,Nelson,2017-07-29,8.5,3044,2,1,1,133,120,1970,Moreland City Council,-37.72136,144.92932,Northern Metropolitan,7485
Pascoe Vale,1/36 Bolingbroke St,2,u,565000,S,Rendina,2017-07-29,8.5,3044,2,1,2,189,120,1980,Moreland City Council,-37.73199,144.93395,Northern Metropolitan,7485
Pascoe Vale,215 Derby St,3,h,840000,PI,Brad,2017-07-29,8.5,3044,3,1,1,438,120,1970,Moreland City Council,-37.71962,144.94756,Northern Metropolitan,7485
Pascoe Vale,231 Derby St,6,h,600000,S,Barry,2017-07-29,8.5,3044,6,5,2,633,436,2013,Moreland City Council,-37.7182,144.9478,Northern Metropolitan,7485
Pascoe Vale,4/424 Gaffney St,3,t,600000,SP,hockingstuart,2017-07-29,8.5,3044,3,1,1,729,120,1970,Moreland City Council,-37.73034,144.92952,Northern Metropolitan,7485
Pascoe Vale,61 Pardy St,3,h,940000,SP,hockingstuart,2017-07-29,8.5,3044,3,1,1,559,109,1955,Moreland City Council,-37.7327,144.92966,Northern Metropolitan,7485
Point Cook,23 Boathaven Rd,4,h,620000,S,hockingstuart,2017-07-29,14.7,3030,4,2,2,448,238,2011,Wyndham City Council,-37.91269,144.73946,Western Metropolitan,15542
Point Cook,48 Dalkeith Dr,4,h,600000,SP,Reliance,2017-07-29,14.7,3030,4,2,2,626,212,2003,Wyndham City Council,-37.8916,144.7475,Western Metropolitan,15542
Point Cook,3 Sage Cl,4,h,600000,PI,Ray,2017-07-29,14.7,3030,4,2,2,612,271,2004,Wyndham City Council,-37.88573,144.73359,Western Metropolitan,15542
Point Cook,25 Yuruga Bvd,4,h,801000,S,YPA,2017-07-29,14.7,3030,4,2,2,628,120,1970,Wyndham City Council,-37.90622,144.74946,Western Metropolitan,15542
Port Melbourne,83 Evans St,2,h,1722500,S,Marshall,2017-07-29,3.5,3207,2,1,0,101,75,1900,Melbourne City Council,-37.83446,144.94021,Southern Metropolitan,8648
Port Melbourne,178 Princes St,3,h,2730000,S,Chisholm,2017-07-29,3.5,3207,3,1,1,324,120,1970,Melbourne City Council,-37.83789,144.93834,Southern Metropolitan,8648
Port Melbourne,84 Raglan St,3,h,1030000,S,Frank,2017-07-29,3.5,3207,3,1,0,130,120,1970,Melbourne City Council,-37.83424,144.94572,Southern Metropolitan,8648
Prahran,504/7 King St,2,u,520000,PI,hockingstuart,2017-07-29,4.6,3181,2,2,1,1111,120,2012,Stonnington City Council,-37.84968,144.99389,Southern Metropolitan,7717
Prahran,59 Perth St,2,h,600000,SP,Hodges,2017-07-29,4.6,3181,2,1,0,121,84,1900,Stonnington City Council,-37.84736,144.98767,Southern Metropolitan,7717
Preston,20 Austral Av,4,h,1485000,S,McGrath,2017-07-29,8.4,3072,4,1,2,509,202,1920,Darebin City Council,-37.74684,144.9933,Northern Metropolitan,14577
Preston,47 Cooper St,7,h,1350000,SP,RW,2017-07-29,8.4,3072,7,3,4,530,120,1970,Darebin City Council,-37.73526,144.99508,Northern Metropolitan,14577
Preston,483 Gilbert Rd,3,h,905000,PI,Nelson,2017-07-29,8.4,3072,3,1,1,473,120,1970,Darebin City Council,-37.73379,144.99054,Northern Metropolitan,14577
Preston,5 Toolangi Gr,3,h,1045000,S,RW,2017-07-29,8.4,3072,3,1,2,520,120,1970,Darebin City Council,-37.75371,145.01964,Northern Metropolitan,14577
Reservoir,23 Corben St,3,h,600000,S,Barry,2017-07-29,12.0,3073,3,1,3,718,120,1970,Darebin City Council,-37.725,144.98752,Northern Metropolitan,21650
Reservoir,9 Darebin Bvd,4,h,905000,S,Barry,2017-07-29,12.0,3073,4,1,2,870,120,1970,Darebin City Council,-37.70433,145.02068,Northern Metropolitan,21650
Reservoir,14 Kinkora Rd,2,h,875000,S,hockingstuart,2017-07-29,12.0,3073,2,1,2,519,120,1970,Darebin City Council,-37.73019,145.01712,Northern Metropolitan,21650
Reservoir,40 Lockton Av,3,h,670000,S,hockingstuart,2017-07-29,12.0,3073,3,2,1,536,120,1970,Darebin City Council,-37.69505,144.98126,Northern Metropolitan,21650
Reservoir,2 Moira Av,3,h,605000,SP,Love,2017-07-29,12.0,3073,3,1,1,540,120,1970,Darebin City Council,-37.69372,144.98058,Northern Metropolitan,21650
Reservoir,1/33 Oconnor St,2,t,672000,S,hockingstuart,2017-07-29,12.0,3073,2,1,1,243,120,2012,Darebin City Council,-37.71045,145.0018,Northern Metropolitan,21650
Richmond,1/77 Abinger St,2,u,660000,SA,Nelson,2017-07-29,2.4,3121,2,1,1,4422,120,1970,Yarra City Council,-37.82009,145.0038,Northern Metropolitan,14949
Richmond,61 Baker St,3,h,1310000,S,Jellis,2017-07-29,2.4,3121,3,1,1,209,120,1920,Yarra City Council,-37.81179,145.00351,Northern Metropolitan,14949
Richmond,20 Somerset St,3,h,600000,PI,Philip,2017-07-29,2.4,3121,3,1,0,136,90,1900,Yarra City Council,-37.81566,145.00102,Northern Metropolitan,14949
Ringwood East,23 Rosedale Cr,3,h,1400000,S,HAR,2017-07-29,21.3,3135,3,2,4,941,97,1950,Maroondah City Council,-37.81289,145.24213,Eastern Metropolitan,4407
Ringwood North,2 Jenkins Cl,5,h,850000,VB,McGrath,2017-07-29,19.9,3134,5,3,2,651,120,1970,Manningham City Council,-37.79682,145.21731,Eastern Metropolitan,3619
Ringwood North,81 Kubis Dr,4,h,1005000,S,Jellis,2017-07-29,19.9,3134,4,2,2,785,120,1970,Manningham City Council,-37.79465,145.2244,Eastern Metropolitan,3619
Ripponlea,10/199 Hotham St,2,u,558500,SP,Buxton,2017-07-29,7.2,3185,2,1,1,1453,63,1970,Port Phillip City Council,-37.87827,144.99752,Southern Metropolitan,821
Roxburgh Park,24 Centaurus Av,3,h,393200,S,Raine,2017-07-29,20.6,3064,3,1,1,400,120,1970,Hume City Council,-37.62464,144.9345,Northern Metropolitan,5833
Roxburgh Park,13 McKinley Dr,3,h,460000,S,YPA,2017-07-29,20.6,3064,3,2,3,266,153,2000,Hume City Council,-37.63544,144.93274,Northern Metropolitan,5833
Roxburgh Park,10 Sheridan Wy,3,h,490000,S,Ray,2017-07-29,20.6,3064,3,2,2,400,143,1996,Hume City Council,-37.62584,144.92506,Northern Metropolitan,5833
Sandringham,6 Duff St,4,h,1660000,S,hockingstuart,2017-07-29,15.2,3191,4,2,2,390,235,2004,Bayside City Council,-37.96,145.02068,Southern Metropolitan,4497
Sandringham,1/10 Reno Rd,4,h,1235000,S,Hodges,2017-07-29,15.2,3191,4,2,2,404,165,1925,Bayside City Council,-37.95882,145.02138,Southern Metropolitan,4497
Seabrook,5 Ann Pl,4,h,590000,S,LJ,2017-07-29,15.5,3028,4,2,2,531,120,1970,Hobsons Bay City Council,-37.87896,144.75473,Western Metropolitan,1793
Seaford,18 Catron St,4,h,870000,S,hockingstuart,2017-07-29,35.4,3198,4,2,2,771,160,1965,Frankston City Council,-38.10052,145.13397,South-Eastern Metropolitan,8077
Seaford,13 Hayman Av,4,h,880000,S,O'Brien,2017-07-29,35.4,3198,4,2,2,535,199,1970,Frankston City Council,-38.09683,145.12981,South-Eastern Metropolitan,8077
Seddon,2/70 Windsor St,2,h,945000,SP,Village,2017-07-29,5.1,3011,2,1,1,126,65,1890,Maribyrnong City Council,-37.80473,144.89095,Western Metropolitan,2417
South Kingsville,89A New St,3,t,730000,S,Sweeney,2017-07-29,6.2,3015,3,2,2,340,135,2000,Hobsons Bay City Council,-37.83172,144.86683,Western Metropolitan,984
South Melbourne,147 Bank St,3,h,2200000,VB,Marshall,2017-07-29,1.9,3205,3,2,1,195,120,1857,Port Phillip City Council,-37.83381,144.96287,Southern Metropolitan,5943
South Morang,35 Astair Av,4,h,600000,PI,HAR,2017-07-29,20.5,3752,4,2,2,344,170,2000,Whittlesea City Council,-37.63343,145.06966,Northern Metropolitan,7969
South Morang,1/14 Kestrel Rd,4,h,600000,PI,HAR,2017-07-29,20.5,3752,4,2,2,272,120,1970,Whittlesea City Council,-37.62761,145.07109,Northern Metropolitan,7969
South Morang,7 Loveridge Wy,4,h,561000,SP,Ray,2017-07-29,20.5,3752,4,2,1,229,156,1970,Whittlesea City Council,-37.62614,145.06723,Northern Metropolitan,7969
South Morang,3 Robin Pl,4,h,612000,S,Millership,2017-07-29,20.5,3752,4,2,2,617,120,1970,Whittlesea City Council,-37.65621,145.0939,Northern Metropolitan,7969
South Morang,9 Ronald Av,3,h,690000,S,HAR,2017-07-29,20.5,3752,3,2,4,806,120,1985,Whittlesea City Council,-37.65498,145.08712,Northern Metropolitan,7969
South Yarra,1001/800 Chapel St,2,u,1090000,S,hockingstuart,2017-07-29,2.7,3141,2,2,2,17200,120,2000,Melbourne City Council,-37.83613,144.99661,Southern Metropolitan,14887
Southbank,101/8 Wells St,2,u,732000,S,Harcourts,2017-07-29,0.7,3006,2,1,0,3901,120,1996,Melbourne City Council,-37.82618,144.96891,Southern Metropolitan,8400
St Albans,3 Chestnut Dr,4,h,600000,SN,Barry,2017-07-29,14.0,3021,4,1,1,584,120,1970,Brimbank City Council,-37.75312,144.80748,Western Metropolitan,14042
St Albans,21 Glendenning St,2,h,600000,SN,Barry,2017-07-29,14.0,3021,2,1,1,743,120,1970,Brimbank City Council,-37.74568,144.79588,Western Metropolitan,14042
Sunbury,1/6 Anthony St,2,u,360000,SP,Brad,2017-07-29,31.7,3429,2,1,1,143,112,1999,Hume City Council,-37.57063,144.70693,Western Metropolitan,14092
Sunbury,4 College Pl,4,h,597000,S,Leading,2017-07-29,31.7,3429,4,2,4,939,120,1977,Hume City Council,-37.57816,144.73431,Western Metropolitan,14092
Sunbury,16 Learmonth St,3,h,600000,SN,Barry,2017-07-29,31.7,3429,3,1,1,580,113,1980,Hume City Council,-37.58113,144.69847,Western Metropolitan,14092
Sunbury,19 Muirfield Dr,3,h,475000,S,Leeburn,2017-07-29,31.7,3429,3,1,4,754,131,1985,Hume City Council,-37.58442,144.75565,Western Metropolitan,14092
Sunbury,26 Xavier Ct,3,h,495000,S,One,2017-07-29,31.7,3429,3,2,2,563,150,1994,Hume City Council,-37.57499,144.75329,Western Metropolitan,14092
Sunshine West,2 Day St,3,h,695000,S,Barry,2017-07-29,10.5,3020,3,1,0,694,113,1950,Brimbank City Council,-37.78871,144.81369,Western Metropolitan,6763
Sunshine West,73 Hilma St,3,h,760000,S,Barry,2017-07-29,10.5,3020,3,1,2,1143,100,1980,Brimbank City Council,-37.79135,144.79948,Western Metropolitan,6763
Sunshine West,18 Marchant Cr,3,h,583500,S,S&L,2017-07-29,10.5,3020,3,1,1,672,110,1970,Brimbank City Council,-37.80118,144.80996,Western Metropolitan,6763
Sydenham,23 Contursi Dr,3,h,585000,S,Prof.,2017-07-29,18.0,3037,3,2,2,662,232,2004,Brimbank City Council,-37.70525,144.75699,Western Metropolitan,3640
Tarneit,27 Chesterton Av,4,h,600000,SN,Barry,2017-07-29,18.4,3029,4,2,2,597,203,2004,Wyndham City Council,-37.86726,144.65981,Western Metropolitan,10160
Taylors Lakes,13 Apollo Rd,3,h,685000,S,Barry,2017-07-29,15.5,3038,3,1,2,678,120,1970,Brimbank City Council,-37.70892,144.80087,Western Metropolitan,5336
Taylors Lakes,64 Pindari Av,3,h,693000,S,YPA,2017-07-29,15.5,3038,3,2,3,723,120,1970,Brimbank City Council,-37.70458,144.79505,Western Metropolitan,5336
Templestowe Lower,51 Jeffrey St,3,h,1245000,S,Barry,2017-07-29,12.4,3107,3,2,2,779,135,1970,Manningham City Council,-37.76311,145.10494,Eastern Metropolitan,5420
Templestowe Lower,13 Melaleuca Av,6,h,2000000,VB,Barry,2017-07-29,12.4,3107,6,3,2,1054,235,1970,Manningham City Council,-37.77404,145.11703,Eastern Metropolitan,5420
Thomastown,11 Belah St,3,h,867000,S,HAR,2017-07-29,15.3,3074,3,1,3,819,120,1970,Whittlesea City Council,-37.67908,145.02095,Northern Metropolitan,7955
Thomastown,2/1 Charles St,2,u,407000,S,HAR,2017-07-29,15.3,3074,2,1,1,140,78,2010,Whittlesea City Council,-37.68199,145.01744,Northern Metropolitan,7955
Thomastown,13 Tanjil Ct,3,h,590500,S,HAR,2017-07-29,15.3,3074,3,1,1,585,120,1970,Whittlesea City Council,-37.67681,145.00323,Northern Metropolitan,7955
Thornbury,31 Raleigh St,3,h,1000000,PI,Love,2017-07-29,7.0,3071,3,2,2,333,120,1970,Darebin City Council,-37.75884,145.00264,Northern Metropolitan,8870
Thornbury,13 Rayment St,3,h,891000,S,Nelson,2017-07-29,7.0,3071,3,2,2,199,140,1999,Darebin City Council,-37.75948,144.99615,Northern Metropolitan,8870
Tullamarine,1/171 Melrose Dr,3,h,615500,S,hockingstuart,2017-07-29,12.9,3043,3,2,1,238,118,2011,Brimbank City Council,-37.70322,144.88236,Western Metropolitan,3296
Wantirna,33 Dunbarton Dr,4,h,908000,S,Ray,2017-07-29,14.7,3152,4,2,1,815,120,1970,Knox City Council,-37.84839,145.24191,Eastern Metropolitan,5424
Wantirna,9 Eton Sq,4,h,850000,VB,Purplebricks,2017-07-29,14.7,3152,4,2,3,785,120,1970,Knox City Council,-37.85297,145.23815,Eastern Metropolitan,5424
Wantirna,16 Mariemont Av,4,h,1200000,S,Ray,2017-07-29,14.7,3152,4,2,3,741,120,1970,Knox City Council,-37.85636,145.23684,Eastern Metropolitan,5424
Wantirna,4 Traydal Cl,3,h,600000,SN,Barry,2017-07-29,14.7,3152,3,2,2,636,120,1970,Knox City Council,-37.86128,145.21628,Eastern Metropolitan,5424
Wantirna South,11 Kirrum Cl,5,h,1310000,S,Harcourts,2017-07-29,14.7,3152,5,3,2,818,255,1985,Knox City Council,-37.87846,145.24212,Eastern Metropolitan,7082
